# stars45degtime,stars45degbarDist,stars45degdiskDist,stars90degtime,stars90degbarDist,stars90degdiskDist,stars0degtime,stars0degbarDist,stars0degdiskDist,stars0deg_retrotime,stars0deg_retrobarDist,stars0deg_retrodiskDist
   2.12500,    0.00678,    0.10696,    2.12500,    0.01970,    0.29957,    2.12500,    0.00904,    0.11183,    2.12500,    0.00765,    0.07617
   2.15000,    0.00295,    0.14579,    2.15000,    0.00253,    0.31855,    2.15000,    0.01031,    0.18060,    2.15000,    0.01468,    0.03934
   2.17500,    0.00479,    0.17829,    2.17500,    0.01691,    0.33017,    2.17500,    0.01202,    0.26694,    2.17500,    0.01127,    0.10415
   2.20000,    0.01364,    0.18502,    2.20000,    0.01091,    0.32820,    2.20000,    0.01661,    0.28914,    2.20000,    0.01772,    0.20426
   2.22500,    0.01021,    0.15997,    2.22500,    0.00759,    0.31402,    2.22500,    0.01551,    0.31571,    2.22500,    0.01775,    0.33588
   2.25000,    0.01051,    0.16126,    2.25000,    0.01116,    0.27310,    2.25000,    0.01433,    0.37477,    2.25000,    0.01617,    0.42433
   2.27500,    0.00466,    0.20754,    2.27500,    0.00589,    0.22401,    2.27500,    0.00421,    0.40361,    2.27500,    0.01492,    0.41203
   2.30000,    0.00404,    0.21268,    2.30000,    0.00642,    0.17594,    2.30000,    0.01961,    0.42626,    2.30000,    0.00513,    0.38088
   2.32500,    0.01993,    0.23502,    2.32500,    0.02476,    0.14688,    2.32500,    0.00749,    0.40297,    2.32500,    0.00518,    0.32919
   2.35000,    0.01507,    0.23905,    2.35000,    0.00576,    0.11433,    2.35000,    0.02128,    0.28417,    2.35000,    0.01917,    0.28907
   2.37500,    0.00212,    0.22164,    2.37500,    0.00788,    0.03567,    2.37500,    0.00622,    0.16931,    2.37500,    0.01008,    0.26396
   2.40000,    0.01102,    0.17831,    2.40000,    0.00549,    0.12274,    2.40000,    0.01604,    0.07887,    2.40000,    0.00477,    0.18896
   2.42500,    0.00579,    0.17569,    2.42500,    0.00183,    0.22699,    2.42500,    0.00833,    0.07368,    2.42500,    0.00132,    0.06250
   2.45000,    0.01677,    0.20539,    2.45000,    0.00826,    0.28569,    2.45000,    0.00847,    0.09907,    2.45000,    0.00909,    0.12060
   2.47500,    0.00910,    0.23741,    2.47500,    0.01526,    0.33351,    2.47500,    0.00803,    0.18270,    2.47500,    0.01222,    0.24043
   2.50000,    0.00824,    0.27323,    2.50000,    0.00779,    0.35412,    2.50000,    0.01491,    0.25809,    2.50000,    0.01096,    0.32458
   2.52500,    0.00775,    0.27655,    2.52500,    0.00596,    0.33937,    2.52500,    0.01801,    0.27306,    2.52500,    0.01241,    0.40313
   2.55000,    0.00468,    0.28646,    2.55000,    0.00919,    0.31964,    2.55000,    0.01815,    0.29741,    2.55000,    0.00560,    0.40954
   2.57500,    0.00766,    0.28201,    2.57500,    0.03303,    0.35015,    2.57500,    0.00672,    0.28559,    2.57500,    0.00672,    0.36106
