FE/H,C/H,MG/H,NA/H,AL/H,cluster
-0.18908,-0.07823,-0.08141,-0.20620,0.04249,1
-0.20780,-0.10924,-0.05823,-0.23292,0.10033,1
0.15920,0.24452,0.21100,0.06627,0.32182,1
0.17537,0.26824,0.26605,0.34317,0.25605,1
-1.38336,-1.70823,-1.18817,-1.86351,-1.74900,1
-0.98906,-1.00656,-0.78713,-1.45914,-0.90716,1
-0.02544,0.09068,0.00919,0.00401,-0.01907,1
-0.04512,-0.10921,-0.03370,-0.19639,-0.01616,1
-0.77555,-0.60503,-0.49011,-0.55716,-0.55570,1
0.02866,0.12169,0.10820,-0.02304,0.14598,1
0.21228,0.21114,0.24247,0.13904,0.37147,1
-0.02363,-0.01237,-0.02434,-0.10766,0.35874,1
0.12872,0.05940,0.13728,0.11997,0.26078,1
-0.26014,-0.18792,0.00242,0.04764,0.12292,1
0.12064,0.21203,0.16143,0.12245,0.33220,1
-0.26941,-0.13994,-0.11985,-0.24564,0.00907,1
-0.43188,-0.44650,-0.27433,-0.39576,-0.10840,1
-0.62420,-0.61983,-0.43400,-0.64180,-0.31045,1
-0.05991,0.09953,0.00406,-0.04418,0.07213,1
-0.51071,-0.35066,-0.30968,-0.48116,-0.22037,1
-0.57157,-0.59501,-0.38234,-0.28521,-0.21467,1
-0.60627,-0.50394,-0.35792,-0.43598,-0.24364,1
-1.20445,-1.49492,-0.95298,-1.61356,-1.02600,1
-0.70180,-0.74508,-0.53243,-0.70188,-0.32423,1
-0.24986,-0.21806,-0.21500,-0.40997,-0.07819,1
-1.18258,-0.98026,-0.88475,-0.27822,-0.72080,1
-0.14740,-0.09562,-0.06589,-0.01451,0.03923,1
-0.25169,-0.10148,-0.03808,-0.41152,0.20881,1
-0.58807,-0.49808,-0.43018,-0.51530,-0.36516,1
-0.09408,-0.19117,0.10620,0.06867,0.32853,1
-0.30262,-0.15141,-0.11233,-0.27027,-0.07372,1
-0.53276,-0.39816,-0.30799,-0.28982,-0.17368,1
-0.46429,-0.44881,-0.36880,-0.63713,-0.34075,1
-0.42282,-0.43687,-0.19538,-0.38675,-0.04113,1
0.22027,0.19731,0.25763,0.20811,0.33411,1
-0.66780,-0.59026,-0.40457,-0.35535,-0.42392,1
-0.52322,-0.40112,-0.28433,0.03047,-0.23966,1
-0.11232,-0.04061,-0.00195,-0.28174,0.21931,1
-0.21348,-0.15965,-0.09698,-0.21798,0.04369,1
-0.64992,-0.61548,-0.44455,-0.32825,-0.32807,1
