# stars45degtime,stars45degm1,stars45degm2,stars45degm3,stars45degm4,stars90degtime,stars90degm1,stars90degm2,stars90degm3,stars90degm4,stars0degtime,stars0degm1,stars0degm2,stars0degm3,stars0degm4,stars0deg_retrotime,stars0deg_retrom1,stars0deg_retrom2,stars0deg_retrom3,stars0deg_retrom4
   1.37500,    0.10989,    0.10358,    0.06253,    0.04651,    1.37500,    0.11564,    0.23138,    0.07164,    0.07604,    1.37500,    0.10959,    0.05425,    0.06396,    0.05342,    1.37500,    0.14562,    0.20089,    0.06984,    0.10025
   1.40000,    0.10864,    0.09988,    0.08611,    0.05581,    1.40000,    0.12005,    0.22030,    0.09498,    0.04692,    1.40000,    0.09235,    0.06298,    0.04623,    0.04874,    1.40000,    0.11577,    0.18948,    0.05592,    0.06395
   1.42500,    0.12912,    0.10172,    0.10148,    0.07050,    1.42500,    0.13786,    0.19216,    0.13072,    0.05274,    1.42500,    0.10262,    0.10889,    0.05981,    0.05518,    1.42500,    0.09508,    0.13817,    0.05301,    0.06932
   1.45000,    0.13090,    0.13338,    0.12819,    0.06325,    1.45000,    0.15808,    0.18681,    0.13014,    0.05804,    1.45000,    0.11154,    0.14325,    0.05718,    0.06716,    1.45000,    0.05412,    0.09772,    0.04226,    0.04706
   1.47500,    0.11913,    0.14237,    0.13869,    0.06414,    1.47500,    0.16963,    0.22290,    0.07407,    0.06999,    1.47500,    0.06666,    0.15332,    0.07055,    0.08776,    1.47500,    0.06437,    0.14124,    0.04688,    0.05689
   1.50000,    0.07946,    0.13746,    0.12996,    0.07198,    1.50000,    0.13736,    0.25921,    0.04836,    0.08183,    1.50000,    0.03488,    0.15514,    0.07379,    0.08028,    1.50000,    0.05900,    0.15617,    0.04571,    0.06333
   1.52500,    0.08507,    0.16925,    0.10258,    0.08523,    1.52500,    0.10399,    0.25529,    0.06989,    0.07926,    1.52500,    0.03267,    0.17078,    0.06041,    0.04287,    1.52500,    0.07205,    0.11349,    0.01768,    0.05338
   1.55000,    0.10672,    0.22188,    0.06318,    0.08463,    1.55000,    0.07887,    0.22888,    0.07851,    0.05467,    1.55000,    0.05390,    0.20243,    0.04277,    0.04408,    1.55000,    0.06454,    0.08055,    0.03469,    0.05535
   1.57500,    0.11301,    0.24414,    0.06195,    0.06584,    1.57500,    0.10576,    0.17989,    0.07217,    0.04808,    1.57500,    0.06063,    0.22240,    0.05008,    0.07201,    1.57500,    0.05002,    0.11000,    0.05186,    0.06711
   1.60000,    0.12680,    0.22888,    0.08576,    0.05146,    1.60000,    0.11944,    0.13564,    0.08165,    0.06364,    1.60000,    0.05542,    0.24836,    0.04549,    0.08941,    1.60000,    0.06541,    0.13648,    0.06092,    0.05710
   1.62500,    0.08656,    0.19938,    0.08896,    0.03828,    1.62500,    0.14931,    0.12742,    0.09391,    0.05629,    1.62500,    0.05105,    0.25560,    0.03111,    0.07908,    1.62500,    0.05484,    0.14004,    0.03459,    0.05017
   1.65000,    0.06649,    0.20391,    0.06591,    0.05910,    1.65000,    0.16182,    0.13420,    0.08909,    0.03065,    1.65000,    0.06477,    0.24976,    0.02918,    0.07811,    1.65000,    0.05808,    0.12473,    0.01984,    0.06055
   1.67500,    0.06615,    0.22736,    0.04991,    0.09517,    1.67500,    0.15288,    0.11580,    0.06484,    0.04614,    1.67500,    0.07826,    0.24758,    0.05419,    0.11445,    1.67500,    0.07836,    0.11961,    0.04572,    0.07136
   1.70000,    0.06490,    0.21638,    0.07402,    0.11249,    1.70000,    0.13077,    0.09550,    0.06028,    0.03786,    1.70000,    0.06573,    0.22812,    0.08041,    0.11394,    1.70000,    0.07452,    0.13558,    0.02095,    0.07381
   1.72500,    0.08089,    0.20131,    0.08865,    0.09594,    1.72500,    0.11680,    0.11397,    0.08973,    0.03245,    1.72500,    0.07625,    0.18316,    0.08211,    0.09663,    1.72500,    0.09425,    0.17261,    0.05061,    0.06884
   1.75000,    0.10489,    0.22050,    0.05724,    0.06909,    1.75000,    0.12350,    0.12974,    0.09642,    0.03760,    1.75000,    0.07220,    0.13412,    0.07398,    0.07098,    1.75000,    0.09723,    0.18389,    0.05897,    0.05111
   1.77500,    0.10675,    0.23488,    0.04681,    0.08861,    1.77500,    0.12091,    0.13647,    0.07569,    0.02704,    1.77500,    0.08861,    0.12890,    0.05705,    0.04739,    1.77500,    0.05903,    0.15868,    0.05427,    0.06236
   1.80000,    0.09323,    0.19600,    0.06367,    0.12046,    1.80000,    0.10664,    0.12476,    0.08295,    0.04432,    1.80000,    0.08398,    0.14401,    0.02520,    0.04618,    1.80000,    0.05984,    0.12779,    0.08022,    0.05812
   1.82500,    0.08171,    0.15197,    0.06654,    0.10736,    1.82500,    0.09033,    0.15094,    0.06557,    0.03529,    1.82500,    0.06835,    0.13329,    0.05186,    0.04159,    1.82500,    0.07555,    0.12929,    0.09238,    0.05424
   1.85000,    0.08875,    0.15368,    0.05417,    0.08083,    1.85000,    0.08276,    0.17506,    0.04151,    0.06849,    1.85000,    0.07775,    0.12856,    0.04716,    0.03947,    1.85000,    0.06476,    0.15966,    0.06576,    0.06830
   1.87500,    0.08099,    0.16623,    0.04500,    0.06517,    1.87500,    0.07542,    0.18746,    0.05981,    0.06523,    1.87500,    0.09294,    0.13189,    0.02496,    0.03175,    1.87500,    0.03441,    0.15948,    0.06295,    0.07561
   1.90000,    0.07176,    0.15996,    0.06076,    0.06796,    1.90000,    0.03752,    0.17603,    0.05455,    0.05789,    1.90000,    0.07891,    0.11552,    0.05076,    0.02536,    1.90000,    0.06566,    0.13597,    0.05073,    0.06564
   1.92500,    0.09470,    0.13496,    0.06774,    0.07389,    1.92500,    0.03627,    0.15060,    0.04724,    0.06229,    1.92500,    0.05192,    0.10013,    0.03968,    0.02712,    1.92500,    0.05707,    0.12413,    0.04890,    0.07476
   1.95000,    0.11303,    0.11391,    0.06925,    0.05311,    1.95000,    0.07035,    0.16109,    0.05208,    0.05983,    1.95000,    0.03618,    0.10218,    0.02810,    0.02344,    1.95000,    0.04737,    0.12632,    0.06526,    0.07884
   1.97500,    0.11971,    0.11720,    0.06413,    0.04337,    1.97500,    0.08560,    0.15515,    0.07569,    0.03818,    1.97500,    0.05424,    0.11419,    0.04857,    0.03137,    1.97500,    0.05541,    0.11088,    0.05782,    0.05023
   2.00000,    0.10076,    0.12090,    0.02448,    0.04843,    2.00000,    0.12133,    0.15016,    0.10371,    0.02912,    2.00000,    0.06916,    0.10522,    0.05806,    0.04551,    2.00000,    0.04710,    0.09422,    0.03649,    0.05318
   2.00000,    0.10078,    0.12088,    0.02461,    0.04846,    2.00000,    0.12133,    0.15015,    0.10371,    0.02912,    2.00000,    0.06916,    0.10521,    0.05806,    0.04551,    2.00000,    0.04709,    0.09422,    0.03648,    0.05318
   2.00000,    0.10076,    0.12090,    0.02448,    0.04843,    2.00000,    0.12133,    0.15016,    0.10371,    0.02912,    2.00000,    0.06924,    0.10520,    0.05812,    0.04549,    2.00000,    0.04708,    0.09422,    0.03649,    0.05319
   2.02500,    0.06747,    0.13274,    0.03555,    0.06866,    2.02500,    0.16297,    0.15007,    0.10522,    0.05987,    2.02500,    0.06269,    0.08531,    0.03672,    0.05310,    2.02500,    0.03626,    0.11037,    0.03966,    0.05249
   2.05000,    0.05746,    0.14340,    0.03276,    0.05622,    2.05000,    0.17022,    0.14948,    0.07631,    0.08923,    2.05000,    0.05412,    0.10221,    0.04208,    0.04947,    2.05000,    0.06146,    0.14974,    0.06663,    0.06143
   2.07500,    0.05361,    0.14378,    0.03604,    0.04861,    2.07500,    0.16119,    0.12700,    0.07277,    0.06559,    2.07500,    0.06699,    0.10861,    0.05549,    0.03606,    2.07500,    0.07902,    0.15787,    0.06676,    0.05766
   2.10000,    0.06436,    0.12197,    0.03824,    0.05233,    2.10000,    0.12337,    0.10915,    0.06799,    0.05637,    2.10000,    0.06661,    0.10379,    0.04165,    0.02346,    2.10000,    0.04825,    0.14954,    0.05520,    0.05178
   2.12500,    0.06549,    0.08721,    0.06088,    0.04796,    2.12500,    0.08036,    0.11107,    0.03657,    0.05072,    2.12500,    0.07060,    0.10794,    0.03993,    0.02065,    2.12500,    0.07181,    0.15111,    0.05176,    0.05433
   2.15000,    0.07987,    0.08261,    0.08487,    0.04249,    2.15000,    0.06846,    0.11970,    0.04061,    0.04995,    2.15000,    0.06964,    0.11748,    0.03593,    0.04050,    2.15000,    0.08940,    0.16297,    0.04550,    0.05269
   2.17500,    0.08163,    0.09906,    0.10460,    0.05125,    2.17500,    0.05268,    0.12253,    0.02585,    0.05730,    2.17500,    0.05854,    0.11571,    0.03244,    0.04274,    2.17500,    0.06690,    0.17299,    0.03763,    0.07074
   2.20000,    0.06312,    0.08358,    0.07613,    0.05368,    2.20000,    0.05266,    0.11228,    0.02844,    0.04201,    2.20000,    0.06565,    0.10733,    0.04365,    0.03311,    2.20000,    0.06856,    0.15823,    0.05225,    0.05591
   2.22500,    0.05631,    0.07530,    0.03387,    0.04690,    2.22500,    0.04797,    0.08704,    0.02730,    0.03204,    2.22500,    0.07790,    0.10700,    0.05156,    0.03652,    2.22500,    0.06302,    0.11670,    0.04609,    0.05280
   2.25000,    0.05411,    0.08787,    0.03579,    0.04679,    2.25000,    0.02785,    0.08233,    0.03721,    0.03917,    2.25000,    0.06742,    0.10730,    0.04363,    0.03356,    2.25000,    0.04824,    0.11124,    0.03582,    0.06927
   2.27500,    0.07908,    0.12460,    0.05137,    0.04783,    2.27500,    0.04093,    0.06066,    0.05232,    0.03300,    2.27500,    0.03956,    0.09968,    0.04691,    0.04655,    2.27500,    0.03155,    0.13651,    0.02284,    0.07356
   2.30000,    0.10312,    0.14468,    0.05878,    0.03985,    2.30000,    0.07133,    0.05199,    0.04988,    0.02631,    2.30000,    0.03101,    0.08207,    0.04962,    0.04953,    2.30000,    0.02967,    0.14500,    0.01700,    0.05393
   2.32500,    0.09038,    0.14859,    0.05801,    0.04641,    2.32500,    0.07741,    0.05915,    0.04761,    0.03159,    2.32500,    0.03504,    0.07597,    0.03273,    0.03435,    2.32500,    0.06171,    0.13255,    0.04102,    0.05873
   2.35000,    0.08359,    0.15929,    0.05214,    0.08307,    2.35000,    0.07517,    0.06216,    0.04482,    0.04017,    2.35000,    0.03086,    0.08090,    0.04998,    0.04811,    2.35000,    0.04978,    0.10872,    0.04400,    0.05740
   2.37500,    0.06373,    0.17180,    0.03954,    0.09578,    2.37500,    0.05998,    0.08218,    0.05762,    0.04065,    2.37500,    0.02988,    0.07269,    0.04766,    0.05365,    2.37500,    0.05493,    0.13731,    0.03059,    0.06941
   2.40000,    0.05282,    0.18592,    0.04801,    0.07285,    2.40000,    0.06283,    0.09829,    0.05973,    0.02937,    2.40000,    0.03012,    0.06824,    0.04376,    0.04723,    2.40000,    0.05742,    0.14587,    0.03643,    0.07584
   2.42500,    0.04670,    0.18263,    0.04785,    0.04611,    2.42500,    0.09559,    0.09080,    0.05018,    0.02957,    2.42500,    0.03620,    0.07358,    0.05784,    0.04787,    2.42500,    0.05179,    0.12515,    0.04990,    0.05792
   2.45000,    0.03354,    0.16232,    0.04534,    0.03630,    2.45000,    0.09577,    0.08301,    0.03861,    0.03358,    2.45000,    0.04870,    0.08874,    0.06211,    0.02964,    2.45000,    0.04574,    0.12106,    0.04146,    0.03979
   2.47500,    0.03641,    0.14948,    0.04391,    0.05180,    2.47500,    0.08725,    0.09841,    0.04315,    0.02797,    2.47500,    0.06460,    0.08716,    0.03811,    0.02068,    2.47500,    0.05086,    0.12655,    0.03515,    0.05682
   2.50000,    0.06550,    0.16360,    0.06798,    0.06234,    2.50000,    0.08024,    0.11120,    0.04870,    0.02218,    2.50000,    0.06572,    0.06826,    0.03667,    0.01954,    2.50000,    0.05212,    0.14226,    0.03940,    0.05774
   2.52500,    0.04981,    0.17219,    0.06687,    0.05245,    2.52500,    0.06880,    0.12138,    0.04928,    0.03246,    2.52500,    0.06825,    0.05989,    0.03951,    0.02905,    2.52500,    0.08321,    0.14324,    0.05456,    0.06122
   2.55000,    0.03590,    0.16329,    0.05189,    0.05125,    2.55000,    0.07151,    0.11544,    0.03970,    0.02973,    2.55000,    0.05728,    0.04236,    0.03393,    0.02900,    2.55000,    0.09964,    0.13286,    0.04705,    0.07894
   2.57500,    0.04827,    0.13800,    0.02770,    0.05073,    2.57500,    0.07117,    0.10197,    0.02483,    0.01871,    2.57500,    0.04193,    0.03661,    0.02269,    0.01846,    2.57500,    0.09088,    0.12444,    0.05629,    0.07472
   2.60000,    0.02952,    0.13254,    0.01794,    0.06131,    2.60000,    0.05440,    0.12722,    0.01697,    0.02160,    2.60000,    0.04124,    0.03667,    0.03073,    0.02280,    2.60000,    0.08807,    0.12995,    0.06185,    0.06657
   2.62500,    0.02290,    0.13718,    0.03140,    0.05172,    2.62500,    0.05605,    0.16580,    0.02833,    0.06180,    2.62500,    0.02821,    0.04304,    0.04539,    0.02592,    2.62500,    0.06086,    0.14052,    0.06813,    0.05392
   2.65000,    0.03534,    0.12765,    0.03071,    0.04069,    2.65000,    0.06819,    0.16413,    0.02945,    0.06974,    2.65000,    0.02086,    0.05370,    0.05348,    0.02255,    2.65000,    0.04850,    0.12393,    0.06916,    0.04228
   2.67500,    0.03952,    0.11109,    0.04574,    0.03850,    2.67500,    0.07808,    0.12790,    0.02662,    0.04312,    2.67500,    0.03766,    0.06551,    0.06001,    0.02234,    2.67500,    0.05000,    0.12092,    0.06054,    0.04818
   2.70000,    0.04164,    0.09393,    0.05618,    0.04287,    2.70000,    0.06679,    0.12057,    0.03134,    0.02173,    2.70000,    0.03589,    0.06873,    0.05796,    0.02654,    2.70000,    0.04646,    0.14898,    0.04904,    0.05084
   2.72500,    0.05848,    0.08537,    0.05497,    0.03097,    2.72500,    0.09644,    0.13320,    0.03605,    0.02552,    2.72500,    0.03396,    0.07206,    0.03377,    0.02664,    2.72500,    0.03447,    0.16470,    0.04991,    0.05925
