# stars45degtime,stars45degbarDist,stars45degdiskDist,stars90degtime,stars90degbarDist,stars90degdiskDist,stars0degtime,stars0degbarDist,stars0degdiskDist,stars0deg_retrotime,stars0deg_retrobarDist,stars0deg_retrodiskDist
   1.75000,    0.07026,    0.12844,    1.75000,    0.00389,    0.39183,    1.75000,    0.04401,    0.09563,    1.75000,    0.05411,    0.33678
   1.77500,    0.01083,    0.18872,    1.77500,    0.01868,    0.35292,    1.77500,    0.02557,    0.18877,    1.77500,    0.02023,    0.40826
   1.80000,    0.04318,    0.18526,    1.80000,    0.02006,    0.32116,    1.80000,    0.04080,    0.21070,    1.80000,    0.04052,    0.37619
   1.82500,    0.02878,    0.18767,    1.82500,    0.00964,    0.24134,    1.82500,    0.01390,    0.18591,    1.82500,    0.05419,    0.32041
   1.85000,    0.02557,    0.21267,    1.85000,    0.04216,    0.18295,    1.85000,    0.01840,    0.13949,    1.85000,    0.06000,    0.19239
   1.87500,    0.01244,    0.22471,    1.87500,    0.01674,    0.14975,    1.87500,    0.04695,    0.12323,    1.87500,    0.03384,    0.13439
   1.90000,    0.02990,    0.18677,    1.90000,    0.01482,    0.11832,    1.90000,    0.01246,    0.18924,    1.90000,    0.02680,    0.12229
   1.92500,    0.02758,    0.19060,    1.92500,    0.01850,    0.16921,    1.92500,    0.00935,    0.15187,    1.92500,    0.05188,    0.11901
   1.95000,    0.01661,    0.19570,    1.95000,    0.01141,    0.24902,    1.95000,    0.01946,    0.09028,    1.95000,    0.00558,    0.11199
   1.97500,    0.00935,    0.16448,    1.97500,    0.01080,    0.29512,    1.97500,    0.00877,    0.06815,    1.97500,    0.02023,    0.08149
   2.00000,    0.04538,    0.20024,    2.00000,    0.02974,    0.36704,    2.00000,    0.01066,    0.05408,    2.00000,    0.02823,    0.06498
   2.00000,    0.04529,    0.20012,    2.00000,    0.02974,    0.36704,    2.00000,    0.01065,    0.05408,    2.00000,    0.02823,    0.06497
   2.00000,    0.04529,    0.20010,    2.00000,    0.02974,    0.36704,    2.00000,    0.01065,    0.05437,    2.00000,    0.02823,    0.06497
   2.02500,    0.01493,    0.14729,    2.02500,    0.00836,    0.42375,    2.02500,    0.01104,    0.06549,    2.02500,    0.02439,    0.12679
   2.05000,    0.06163,    0.07694,    2.05000,    0.05219,    0.45365,    2.05000,    0.01066,    0.12244,    2.05000,    0.00902,    0.18635
   2.07500,    0.03454,    0.07330,    2.07500,    0.00524,    0.46109,    2.07500,    0.01288,    0.09353,    2.07500,    0.02045,    0.21786
   2.10000,    0.02351,    0.04257,    2.10000,    0.02599,    0.43215,    2.10000,    0.03042,    0.05719,    2.10000,    0.02662,    0.17015
   2.12500,    0.04315,    0.09181,    2.12500,    0.02910,    0.34578,    2.12500,    0.01084,    0.14834,    2.12500,    0.00207,    0.15053
   2.15000,    0.03949,    0.13815,    2.15000,    0.02356,    0.25456,    2.15000,    0.03756,    0.17526,    2.15000,    0.03295,    0.16908
   2.17500,    0.01448,    0.18821,    2.17500,    0.01968,    0.11360,    2.17500,    0.00664,    0.14702,    2.17500,    0.02076,    0.20285
   2.20000,    0.06881,    0.15288,    2.20000,    0.00773,    0.00200,    2.20000,    0.02135,    0.14863,    2.20000,    0.03751,    0.16940
   2.22500,    0.03791,    0.19330,    2.22500,    0.02917,    0.05885,    2.22500,    0.04934,    0.13489,    2.22500,    0.03517,    0.06502
   2.25000,    0.04251,    0.21129,    2.25000,    0.02696,    0.06165,    2.25000,    0.05216,    0.12865,    2.25000,    0.04168,    0.08745
