# stars45degtime,stars45degm1,stars45degm2,stars45degm3,stars45degm4,stars90degtime,stars90degm1,stars90degm2,stars90degm3,stars90degm4,stars0degtime,stars0degm1,stars0degm2,stars0degm3,stars0degm4,stars0deg_retrotime,stars0deg_retrom1,stars0deg_retrom2,stars0deg_retrom3,stars0deg_retrom4
   1.80000,    0.07532,    0.17719,    0.06212,    0.06531,    1.80000,    0.03034,    0.14877,    0.05547,    0.03528,    1.80000,    0.08278,    0.19052,    0.03545,    0.05881,    1.80000,    0.09369,    0.19204,    0.06716,    0.06870
   1.82500,    0.07002,    0.18653,    0.05906,    0.08749,    1.82500,    0.05099,    0.10937,    0.06901,    0.02135,    1.82500,    0.09592,    0.13821,    0.05767,    0.04540,    1.82500,    0.08698,    0.18663,    0.06918,    0.05459
   1.85000,    0.07992,    0.17387,    0.05135,    0.09179,    1.85000,    0.05895,    0.08621,    0.05448,    0.02937,    1.85000,    0.11926,    0.09160,    0.05701,    0.03999,    1.85000,    0.06708,    0.18136,    0.06228,    0.05096
   1.87500,    0.06041,    0.15284,    0.04402,    0.08125,    1.87500,    0.06769,    0.06684,    0.03346,    0.04574,    1.87500,    0.11806,    0.06810,    0.04525,    0.04031,    1.87500,    0.06178,    0.17522,    0.03298,    0.05627
   1.90000,    0.06324,    0.15313,    0.04187,    0.06929,    1.90000,    0.07488,    0.09436,    0.03730,    0.03894,    1.90000,    0.10090,    0.08361,    0.03248,    0.04101,    1.90000,    0.09297,    0.15018,    0.05278,    0.05927
   1.92500,    0.05269,    0.15297,    0.04049,    0.05795,    1.92500,    0.05489,    0.14456,    0.06770,    0.03063,    1.92500,    0.10099,    0.10361,    0.03232,    0.03457,    1.92500,    0.12048,    0.11050,    0.05990,    0.04268
   1.95000,    0.03389,    0.13383,    0.03475,    0.05154,    1.95000,    0.06540,    0.16426,    0.07532,    0.02831,    1.95000,    0.11069,    0.11881,    0.05384,    0.02854,    1.95000,    0.12529,    0.07654,    0.04859,    0.02694
   1.97500,    0.03960,    0.10034,    0.02575,    0.04814,    1.97500,    0.08077,    0.16895,    0.05464,    0.03361,    1.97500,    0.11794,    0.12346,    0.07665,    0.03229,    1.97500,    0.10656,    0.07568,    0.05099,    0.02342
   2.00000,    0.03680,    0.07853,    0.03028,    0.03909,    2.00000,    0.08114,    0.17802,    0.04086,    0.05204,    2.00000,    0.12541,    0.14424,    0.08086,    0.04469,    2.00000,    0.08982,    0.09809,    0.06599,    0.02645
   2.00000,    0.03674,    0.07856,    0.03018,    0.03918,    2.00000,    0.08114,    0.17802,    0.04086,    0.05204,    2.00000,    0.12541,    0.14424,    0.08086,    0.04469,    2.00000,    0.08983,    0.09809,    0.06598,    0.02647
   2.00000,    0.03671,    0.07858,    0.03017,    0.03924,    2.00000,    0.08115,    0.17802,    0.04087,    0.05203,    2.00000,    0.12541,    0.14424,    0.08086,    0.04469,    2.00000,    0.08982,    0.09809,    0.06599,    0.02645
   2.02500,    0.04490,    0.08362,    0.04966,    0.02686,    2.02500,    0.10366,    0.18255,    0.02092,    0.05411,    2.02500,    0.10705,    0.16135,    0.08345,    0.03602,    2.02500,    0.09938,    0.13592,    0.08843,    0.02860
   2.05000,    0.07189,    0.09282,    0.07298,    0.03556,    2.05000,    0.11299,    0.19380,    0.04246,    0.05735,    2.05000,    0.07842,    0.16916,    0.06929,    0.03363,    2.05000,    0.08550,    0.19424,    0.09031,    0.04104
   2.07500,    0.08965,    0.09294,    0.07471,    0.04424,    2.07500,    0.12165,    0.20386,    0.07807,    0.06509,    2.07500,    0.05720,    0.15404,    0.05946,    0.02934,    2.07500,    0.07317,    0.21325,    0.06325,    0.06225
   2.10000,    0.09279,    0.07665,    0.07723,    0.04098,    2.10000,    0.09896,    0.18842,    0.08421,    0.07710,    2.10000,    0.06480,    0.13943,    0.03716,    0.03995,    2.10000,    0.07419,    0.20015,    0.03754,    0.04577
   2.12500,    0.08702,    0.06442,    0.07128,    0.03853,    2.12500,    0.07261,    0.17711,    0.07950,    0.07997,    2.12500,    0.05529,    0.13529,    0.04307,    0.04544,    2.12500,    0.03796,    0.15388,    0.04211,    0.03995
   2.15000,    0.05713,    0.06039,    0.06157,    0.03462,    2.15000,    0.06315,    0.17822,    0.08205,    0.07520,    2.15000,    0.05221,    0.15078,    0.06135,    0.03957,    2.15000,    0.03453,    0.12012,    0.04759,    0.06131
   2.17500,    0.03198,    0.06333,    0.04912,    0.01889,    2.17500,    0.06581,    0.17180,    0.06111,    0.05084,    2.17500,    0.08867,    0.16287,    0.07299,    0.05039,    2.17500,    0.06717,    0.11383,    0.04790,    0.07579
   2.20000,    0.06586,    0.08112,    0.04257,    0.02006,    2.20000,    0.07223,    0.15537,    0.04022,    0.04755,    2.20000,    0.10811,    0.17503,    0.07869,    0.05763,    2.20000,    0.09821,    0.13155,    0.02873,    0.06594
   2.22500,    0.08535,    0.09279,    0.04238,    0.03079,    2.22500,    0.07869,    0.14130,    0.04692,    0.05880,    2.22500,    0.11249,    0.16543,    0.08838,    0.06231,    2.22500,    0.08531,    0.15495,    0.05721,    0.05347
   2.25000,    0.08239,    0.09309,    0.05038,    0.02399,    2.25000,    0.08545,    0.13575,    0.04585,    0.05127,    2.25000,    0.11786,    0.14873,    0.08974,    0.06056,    2.25000,    0.05982,    0.17176,    0.07819,    0.06480
   2.27500,    0.08065,    0.09957,    0.06096,    0.01763,    2.27500,    0.07295,    0.13834,    0.03225,    0.04019,    2.27500,    0.10559,    0.14196,    0.08327,    0.05492,    2.27500,    0.06679,    0.19687,    0.05524,    0.08854
   2.30000,    0.08244,    0.10460,    0.06749,    0.02188,    2.30000,    0.06700,    0.11353,    0.03717,    0.04586,    2.30000,    0.08558,    0.12266,    0.07018,    0.06056,    2.30000,    0.09143,    0.20367,    0.03578,    0.09146
   2.32500,    0.07868,    0.12615,    0.07415,    0.02631,    2.32500,    0.08941,    0.08445,    0.05188,    0.03203,    2.32500,    0.08443,    0.10344,    0.05757,    0.05667,    2.32500,    0.11409,    0.18388,    0.03758,    0.07439
   2.35000,    0.06429,    0.14865,    0.06343,    0.02484,    2.35000,    0.08723,    0.06025,    0.05285,    0.01926,    2.35000,    0.08721,    0.09029,    0.05890,    0.04299,    2.35000,    0.10522,    0.15187,    0.03605,    0.05212
   2.37500,    0.05081,    0.17119,    0.05013,    0.03703,    2.37500,    0.06232,    0.06662,    0.03264,    0.03315,    2.37500,    0.05640,    0.06908,    0.05598,    0.04273,    2.37500,    0.08531,    0.12276,    0.03346,    0.03512
   2.40000,    0.04464,    0.18755,    0.04550,    0.05199,    2.40000,    0.04313,    0.07122,    0.03221,    0.03653,    2.40000,    0.06526,    0.07286,    0.04180,    0.03886,    2.40000,    0.05800,    0.10562,    0.04632,    0.03096
   2.42500,    0.02312,    0.18917,    0.05679,    0.05823,    2.42500,    0.05076,    0.07426,    0.03535,    0.03408,    2.42500,    0.06412,    0.09084,    0.02835,    0.03364,    2.42500,    0.05179,    0.11353,    0.04425,    0.03058
   2.45000,    0.03661,    0.18125,    0.06891,    0.05259,    2.45000,    0.05696,    0.08437,    0.04692,    0.02544,    2.45000,    0.04748,    0.10094,    0.02735,    0.02453,    2.45000,    0.05319,    0.12066,    0.03169,    0.02979
   2.47500,    0.08199,    0.17656,    0.08235,    0.05098,    2.47500,    0.07988,    0.11549,    0.06401,    0.02248,    2.47500,    0.04921,    0.09439,    0.03487,    0.02451,    2.47500,    0.04659,    0.11128,    0.04863,    0.03383
   2.50000,    0.10135,    0.15671,    0.09930,    0.04825,    2.50000,    0.08695,    0.15167,    0.06897,    0.03403,    2.50000,    0.05894,    0.08050,    0.03145,    0.02393,    2.50000,    0.05585,    0.08886,    0.03201,    0.02600
   2.52500,    0.11183,    0.13817,    0.10810,    0.04258,    2.52500,    0.08330,    0.18041,    0.07974,    0.04359,    2.52500,    0.06046,    0.06554,    0.02848,    0.02684,    2.52500,    0.08184,    0.08153,    0.03681,    0.03340
   2.55000,    0.11382,    0.11658,    0.10111,    0.03543,    2.55000,    0.08722,    0.19298,    0.08232,    0.04219,    2.55000,    0.06923,    0.06956,    0.03589,    0.03231,    2.55000,    0.11679,    0.10197,    0.06081,    0.04109
   2.57500,    0.09909,    0.10337,    0.10106,    0.03478,    2.57500,    0.11283,    0.18832,    0.08527,    0.04088,    2.57500,    0.07013,    0.09605,    0.04926,    0.03834,    2.57500,    0.12646,    0.13076,    0.07221,    0.03819
   2.60000,    0.07542,    0.11739,    0.09908,    0.03213,    2.60000,    0.13209,    0.17635,    0.07536,    0.05100,    2.60000,    0.07709,    0.11897,    0.04789,    0.03984,    2.60000,    0.11273,    0.15627,    0.06728,    0.03694
