Name,Pop,Change
ROME,2761,0.0091
SPRINGVILLE,1329,0.0054
STRONGS PRAIRIE,1171,0.1480
AGENDA,419,0.0053
ASHLAND,583,-0.1024
CHIPPEWA,373,0.0009
GINGLES,785,0.0086
GORDON,288,-0.0000
JACOBS,722,0.7697
LA POINTE,269,0.0000
MARENGO,396,0.0069
MORSE,501,0.0027
PEEKSVILLE,141,-0.1966
SANBORN,1327,nan
SHANAGOLDEN,125,-0.0000
WHITE RIVER,947,0.0842
ALMENA,848,0.0022
ARLAND,829,0.3519
BARRON,873,0.0178
BEAR LAKE,662,0.0063
CEDAR LAKE,974,0.4824
CHETEK,1664,0.0004
CLINTON,888,0.0665
CRYSTAL LAKE,764,-0.0000
CUMBERLAND,871,0.0054
DALLAS,571,0.0316
DOVRE,864,0.1686
DOYLE,464,0.0034
LAKELAND,990,0.0039
MAPLE GROVE,979,0.0185
MAPLE PLAIN,820,0.0054
OAK GROVE,962,0.0085
PRAIRIE FARM,585,0.2789
PRAIRIE LAKE,1559,0.0148
RICE LAKE,3093,0.0068
SIOUX CREEK,659,0.3400
STANFOLD,727,0.0104
STANLEY,2574,0.0707
SUMNER,817,0.0140
TURTLE LAKE,632,0.0184
VANCE CREEK,662,0.4978
BARKSDALE,723,0.0039
BARNES,774,0.0031
BAYFIELD,696,0.0038
BAYVIEW,492,0.0010
BELL,270,0.0898
CABLE,827,0.0043
CLOVER,222,-0.0000
DELTA,277,0.0036
DRUMMOND,425,0.0092
EILEEN,691,0.0573
GRAND VIEW,474,-0.0000
HUGHES,390,0.0020
IRON RIVER,1162,0.0000
KELLY,472,0.0069
KEYSTONE,373,0.0000
LINCOLN,291,0.0052
MASON,321,-0.0000
NAMAKAGON,250,0.0048
ORIENTA,122,0.0020
OULU,532,0.0002
PILSEN,218,0.0000
PORT WING,376,0.0035
RUSSELL,1367,0.0409
TRIPP,241,0.0001
WASHBURN,542,-0.0000
EATON,1566,0.0074
GLENMORE,1131,0.0011
GREEN BAY,2074,0.0175
HOLLAND,1548,0.1751
HUMBOLDT,1319,0.0098
LAWRENCE,4709,0.0290
LEDGEVIEW,7431,0.0464
MORRISON,1613,-0.0280
NEW DENMARK,1568,0.0074
PITTSFIELD,2678,0.0402
ROCKLAND,1776,0.0184
SCOTT,3604,0.0215
WRIGHTSTOWN,2254,0.0224
ALMA,304,0.0000
BELVIDERE,398,0.0000
BUFFALO,704,0.0000
CANTON,312,0.0025
CROSS,388,0.0093
DOVER,487,0.0094
GILMANTON,436,0.0062
GLENCOE,492,0.0050
LINCOLN,168,-0.0000
MAXVILLE,309,0.2750
MILTON,547,0.0005
MODENA,357,0.0220
MONDOVI,475,0.0040
MONTANA,282,0.0000
NAPLES,700,0.0501
NELSON,601,0.0187
WAUMANDEE,467,0.0084
ANDERSON,396,0.0030
BLAINE,196,0.0000
DANIELS,647,0.0321
DEWEY,514,0.0156
GRANTSBURG,1143,0.0117
JACKSON,791,0.0046
LA FOLLETTE,534,0.0988
LINCOLN,309,0.0013
MEENON,1159,0.0022
OAKLAND,839,0.0043
ROOSEVELT,202,-0.0000
RUSK,417,0.0067
SAND LAKE,535,0.0084
SCOTT,506,0.0066
SIREN,943,0.0066
SWISS,792,0.0016
TRADE LAKE,831,0.0025
UNION,344,0.0037
WEBB LAKE,314,0.0000
WEST MARSHLAND,375,0.0000
WOOD RIVER,955,0.0009
BRILLION,1508,0.0086
BROTHERTOWN,1331,0.0113
CHARLESTOWN,784,0.0020
CHILTON,1145,-1.0000
HARRISON,1209,0.0055
NEW HOLSTEIN,1515,0.0058
RANTOUL,809,0.0067
STOCKBRIDGE,1489,0.0099
WOODVILLE,977,-0.0001
ANSON,2133,0.0162
ARTHUR,772,0.0114
AUBURN,703,0.0178
BIRCH CREEK,526,0.0046
BLOOMER,1076,0.0135
CLEVELAND,873,0.0060
COLBURN,890,-0.0000
COOKS VALLEY,828,-0.0000
DELMAR,948,0.0070
EAGLE POINT,3132,0.0300
EDSON,1082,0.0047
ESTELLA,429,0.0075
GOETZ,783,0.0182
HALLIE,172,0.0175
HOWARD,802,0.0069
LAFAYETTE,5921,0.0757
LAKE HOLCOMBE,1042,0.0103
RUBY,493,0.0023
SAMPSON,918,0.0046
SIGEL,1041,0.0160
TILDEN,1509,0.0075
WHEATON,2755,0.0081
WOODMOHR,953,-0.0000
BEAVER,894,0.0025
BUTLER,95,0.0004
COLBY,892,0.3096
DEWHURST,330,0.0113
EATON,715,0.0191
FOSTER,97,0.0024
FREMONT,1265,-0.0000
GRANT,939,0.0078
GREEN GROVE,754,0.1039
HENDREN,503,-0.0577
HEWETT,299,0.0052
HIXON,819,0.0131
HOARD,836,-42552.9574
LEVIS,500,0.0017
LONGWOOD,866,0.0147
LOYAL,836,0.0205
LYNN,880,0.0408
MAYVILLE,954,0.0045
MEAD,334,-0.1084
MENTOR,586,0.2982
PINE VALLEY,1169,0.0060
RESEBURG,792,0.0325
SEIF,169,0.0075
SHERMAN,902,0.0134
SHERWOOD,227,0.0000
THORP,828,0.0170
UNITY,905,0.0047
WARNER,676,0.0045
WASHBURN,291,0.1497
WESTON,696,0.0023
WITHEE,979,0.0480
WORDEN,684,0.0230
YORK,881,0.0000
ARLINGTON,808,-0.0003
CALEDONIA,1403,0.0027
COLUMBUS,650,0.0134
COURTLAND,530,0.0077
DEKORRA,2327,-0.0585
FORT WINNEBAGO,823,0.0000
FOUNTAIN PRAIRIE,895,0.0116
HAMPDEN,580,0.0033
LEEDS,774,-0.0000
LEWISTON,1232,0.0062
