Lat,Lon,Count,Name
45.581339,-94.394203,6,College of Saint Benedict/Saint John's U
37.689117,-121.717038,26,Lawrence Livermore National Labs
41.378688,-72.104587,1,Connecticut College
35.205894,-97.445714,10,The University of Oklahoma
46.950490,7.438119,9,University of Bern Center for Space and Habitability
52.087785,5.164216,12,SRON Netherlands Institute for Space Res
33.241048,-95.910376,4,Texas A&M University-Commerce
40.025701,-105.219432,1,Atmospheric & Space Technology Research 
53.566564,9.984619,6,University of Hamburg
34.646608,-86.670040,4,NASA Marshall Space Flight Center
47.922891,-97.076801,4,University of North Dakota
-25.767659,28.199264,1,University of South Africa
39.181838,-76.803048,63,Universities Space Research Association
32.278774,-106.747906,12,New Mexico State University Astronomy De
38.846594,-104.824394,4,Colorado College
35.155084,-89.989287,5,Rhodes College
33.996112,-81.027428,5,University of South Carolina
34.182841,-118.162261,11,California Institute of Technology/Jet P
52.216979,21.027554,1,Warsaw University Observatory
39.324358,-82.101389,7,Ohio University
39.765541,-84.180302,2,Applied Optimization Inc
33.207488,-97.152586,1,University of North Texas
42.081064,-88.072897,1,William Rainey Harper College
48.388913,-4.486751,1,Commissariat 
34.047989,-118.256571,2,Jacobs ESTS Group
64.855757,-147.833542,1,University of Alaska Fairbanks
-30.171645,-70.800857,6,National Optical Astronomy Observatory (NOAO) - Cerro Tololo Inter-American Observatory (CTIO)
39.251835,-76.705714,7,Center for Space Science and Technology University of Maryland Baltimore County 
37.818732,-122.180725,1,Space Science Center (Faculty of Science
32.776143,-117.120638,1,SAN DIEGO COMMUNITY COLLEGE DISTRICT
34.056528,-117.821529,3,California State Polytechnic University
46.813316,9.844422,3,PMOD/WRC
51.239610,6.813200,16, International Max Planck Reserach School 
39.176613,-86.513017,13,Indiana University
36.848016,-76.262085,3,Norfolk State University
40.500819,-74.447399,18,Rutgers The State University of New Jersey
38.936881,-76.998692,5,Dept. of Physics the Catholic University
40.490889,-88.990654,2,Illinois Wesleyan University
51.498800,-0.174877,37,Imperial College
60.415909,22.444605,1,Tuorla Observatory
51.819315,5.856888,23,Radboud University Nijmegen
-33.010580,-71.547838,10,Universidad Andres Bello
35.871522,-97.567243,1,University G
42.718452,-73.752195,5,Siena College
43.532100,-80.226861,1,University of G
43.038222,-87.929755,3,Marquette University
42.815751,-75.540768,6,Colgate University
52.957929,-1.152472,2,NOTTINGHAM TRENT UNIVERSITY
61.191042,-149.819560,7,University of Alaska Anchorage
50.737137,-3.535147,43,University of Exeter United Kingdom
43.130553,-77.626003,17,UNIVERSITY OF ROCHESTER
50.060962,19.934107,2,Jagiellonian University 
4.602844,-74.064843,1,Universidad de los Andes Bogotá Colombia
-33.396170,-70.536979,4,Universidad de Chile - Astronomy Department
40.954883,-76.884732,4,Bucknell University
32.134544,-110.938537,1,National Ecologoical Observatory Network
34.154707,-118.080425,13,GMTO Corporation
38.547276,-106.917765,1,Western State Colorado University
37.341413,-121.642910,10,Observatoire de la C
37.785020,-122.399915,2,The Climate Corporation
45.418383,-75.702869,2,Association of Canadian Universities for
30.441878,-84.298489,5,Florida State University
-34.405404,150.878430,1,University of Wollongong
44.225279,-76.495141,2,Queen's University
41.314875,-105.566574,14,University of Wyoming
43.260879,-79.919225,18,Origins Institute -- McMaster University
52.197756,0.128411,1,University of Cambridge UK and 12 Other
39.033311,-95.701707,1,Washburn University
46.199444,6.145116,2,University of Geneva
46.860067,-113.985208,1,University of Montana
36.107043,-115.142375,25,University of Nevada Las Vegas
43.078263,-87.881969,12,University of Wisconsin -- Milwaukee
32.113314,34.804388,11,Tel Aviv University
35.784663,-78.682095,8,North Carolina State University
52.512532,13.326945,3,Several Institutes in Germany
34.022352,-118.285117,4,University of Southern California
40.047526,-76.317902,8,Franklin & Marshall College
59.342166,18.054675,1,Stockholm Observatory
48.781569,9.172783,2,University of Stuttgart Germany
-27.067377,153.148649,7,CSIRO
38.188880,-83.431178,2,Morehead State University
13.013253,77.581566,1,Raman Research Institute Bangalore Ind
23.034117,72.563678,1,LSW/Enigma
30.412495,-91.178879,17,Louisiana State University/Physics and A
28.064689,-80.623022,15,Florida Institute of Technology
37.200566,-93.280670,8,Missouri State University
49.419140,8.670249,18,University of Heidelberg
32.776778,35.023127,3,Technion
48.517187,-123.421421,1,National Research Council Canada-Herzber
45.783711,4.867234,1,Institut De Physique Nucleaire De Lyon
11.383476,76.665706,30,Centre for Radio Astronomy
47.575258,-122.635213,1,OLYMPIC COLLEGE
46.070580,-118.330635,3,Whitman College
41.559007,-75.777405,1,Keystone College
42.933592,-78.882066,1,Buffalo State College
34.066789,-118.168090,1,California State University Los Angeles 
39.676617,-104.961896,3,University of  Denver
44.974552,-93.236410,19,University of Minnesota Department of A
51.559951,9.948431,9,Max Planck Institute for Solar System Research
21.041078,-101.260832,1,Dept. of Astronomy University of Guanaj
37.721534,-97.286197,2,Wichtia State University
38.435092,-78.869755,11,James Madison University
37.776647,-122.450683,5,University of San Francisco 
46.301895,-73.813367,2,Institut de Ci
-33.044035,-71.617378,10,UNIVERSIDAD DE VALPARAISO CHILE
47.499669,18.964282,1,Konkoly Observatory
37.364875,-120.425400,1,University of California Merced
40.240111,-75.610672,1,DataCeutics Inc.
34.034510,-118.510346,8,The Summer Science Program
40.008959,-105.247867,17,LASP University of Colorado
40.856482,-73.910580,1,Bronx Community College
56.341693,-2.792752,32,University of St Andrews
29.583045,-98.619656,6,University of Texas at San Antonio
45.195026,5.710105,1,GRENOBLE UNIVERSITY LAOG
60.172635,24.951042,6,University of Helsinki
43.773454,-79.501868,10,ESSE/York University
45.039719,7.761858,2,INAF - Osservatorio Astronomico di Torin
47.263354,11.383801,10,University of Innsbruck
-33.375017,-70.505107,1,Universidad Andres Bello Santiago Chile
46.731923,-117.154212,11,Washington State University
40.912376,-73.123389,17,Stony Brook University
36.007926,-114.965482,2,Community College of Southern Nevada
40.517076,-105.014760,1,Numerica Corporation
51.566615,-1.785402,2,Science & Technology Facilities Council.
42.293573,-71.305928,2,Wellesley College
24.969481,121.192516,8,Graduate Institute of Astronomy National Central University
41.155882,-80.078450,1,Grove City College
52.401031,13.011910,4,innoFSPEC Potsdam
